param_set_id,metric,min,avg,max
000,auc,0.694145,0.765709,0.835443
000,accuracy,0.501094,0.506128,0.510749
000,recall,0.000000,0.000000,0.000000
000,precision,0.000000,0.000000,0.000000
000,F1,0.000000,0.000000,0.000000
001,auc,0.694145,0.765703,0.835443
001,accuracy,0.501094,0.506128,0.510749
001,recall,0.000000,0.000000,0.000000
001,precision,0.000000,0.000000,0.000000
001,F1,0.000000,0.000000,0.000000
002,auc,0.694145,0.765703,0.835443
002,accuracy,0.501094,0.506128,0.510749
002,recall,0.000000,0.000000,0.000000
002,precision,0.000000,0.000000,0.000000
002,F1,0.000000,0.000000,0.000000
003,auc,0.694145,0.765709,0.835443
003,accuracy,0.501094,0.506128,0.510749
003,recall,0.000000,0.000000,0.000000
003,precision,0.000000,0.000000,0.000000
003,F1,0.000000,0.000000,0.000000
004,auc,0.694145,0.765703,0.835443
004,accuracy,0.501094,0.506128,0.510749
004,recall,0.000000,0.000000,0.000000
004,precision,0.000000,0.000000,0.000000
004,F1,0.000000,0.000000,0.000000
005,auc,0.694145,0.765703,0.835443
005,accuracy,0.501094,0.506128,0.510749
005,recall,0.000000,0.000000,0.000000
005,precision,0.000000,0.000000,0.000000
005,F1,0.000000,0.000000,0.000000
006,auc,0.697778,0.768287,0.830832
006,accuracy,0.616912,0.675153,0.725561
006,recall,0.267857,0.392408,0.489796
006,precision,0.861244,0.883381,0.920548
006,F1,0.408627,0.540188,0.639391
007,auc,0.699154,0.769283,0.834738
007,accuracy,0.646324,0.685688,0.721941
007,recall,0.339286,0.420729,0.491228
007,precision,0.857627,0.877370,0.908108
007,F1,0.486660,0.566929,0.636364
008,auc,0.699076,0.768691,0.841345
008,accuracy,0.630882,0.699623,0.765387
008,recall,0.410714,0.547873,0.673469
008,precision,0.722513,0.772121,0.828358
008,F1,0.523719,0.638361,0.740385
009,auc,0.680103,0.754142,0.812304
009,accuracy,0.653076,0.705888,0.772629
009,recall,0.464286,0.587756,0.719298
009,precision,0.710526,0.756955,0.805921
009,F1,0.569863,0.658552,0.757342
010,auc,0.682932,0.757828,0.822287
010,accuracy,0.650735,0.704146,0.771904
010,recall,0.482143,0.609524,0.736842
010,precision,0.710204,0.740568,0.791209
010,F1,0.577026,0.665747,0.761905
011,auc,0.698245,0.766707,0.832125
011,accuracy,0.627206,0.685644,0.737871
011,recall,0.625000,0.770081,0.857143
011,precision,0.622222,0.652956,0.690141
011,F1,0.623608,0.705607,0.764629
012,auc,0.694145,0.765757,0.835589
012,accuracy,0.501094,0.506128,0.510749
012,recall,0.000000,0.000000,0.000000
012,precision,0.000000,0.000000,0.000000
012,F1,0.000000,0.000000,0.000000
013,auc,0.694145,0.765712,0.835413
013,accuracy,0.501094,0.506128,0.510749
013,recall,0.000000,0.000000,0.000000
013,precision,0.000000,0.000000,0.000000
013,F1,0.000000,0.000000,0.000000
014,auc,0.694145,0.765712,0.835413
014,accuracy,0.501094,0.506128,0.510749
014,recall,0.000000,0.000000,0.000000
014,precision,0.000000,0.000000,0.000000
014,F1,0.000000,0.000000,0.000000
015,auc,0.672264,0.748753,0.811540
015,accuracy,0.653676,0.698539,0.752353
015,recall,0.535714,0.645532,0.755102
015,precision,0.693520,0.713694,0.748555
015,F1,0.604534,0.676081,0.751814
016,auc,0.683529,0.754344,0.816914
016,accuracy,0.633088,0.682999,0.737871
016,recall,0.553571,0.673966,0.775510
016,precision,0.651489,0.678770,0.718919
016,F1,0.598552,0.675008,0.746143
017,auc,0.693755,0.764311,0.830098
017,accuracy,0.626471,0.680362,0.732802
017,recall,0.678571,0.802628,0.877551
017,precision,0.609626,0.639909,0.678692
017,F1,0.642254,0.711479,0.765416
018,auc,0.694145,0.765702,0.835413
018,accuracy,0.501094,0.506128,0.510749
018,recall,0.000000,0.000000,0.000000
018,precision,0.000000,0.000000,0.000000
018,F1,0.000000,0.000000,0.000000
019,auc,0.694145,0.765702,0.835413
019,accuracy,0.501094,0.506128,0.510749
019,recall,0.000000,0.000000,0.000000
019,precision,0.000000,0.000000,0.000000
019,F1,0.000000,0.000000,0.000000
020,auc,0.694145,0.765749,0.835648
020,accuracy,0.501094,0.506128,0.510749
020,recall,0.000000,0.000000,0.000000
020,precision,0.000000,0.000000,0.000000
020,F1,0.000000,0.000000,0.000000
021,auc,0.675820,0.728755,0.777566
021,accuracy,0.501094,0.506128,0.510749
021,recall,0.000000,0.000000,0.000000
021,precision,0.000000,0.000000,0.000000
021,F1,0.000000,0.000000,0.000000
022,auc,0.675820,0.728773,0.777668
022,accuracy,0.501094,0.506128,0.510749
022,recall,0.000000,0.000000,0.000000
022,precision,0.000000,0.000000,0.000000
022,F1,0.000000,0.000000,0.000000
023,auc,0.675535,0.728694,0.777610
023,accuracy,0.501094,0.506128,0.510749
023,recall,0.000000,0.000000,0.000000
023,precision,0.000000,0.000000,0.000000
023,F1,0.000000,0.000000,0.000000
024,auc,0.500000,0.500000,0.500000
024,accuracy,0.501094,0.506128,0.510749
024,recall,0.000000,0.000000,0.000000
024,precision,0.000000,0.000000,0.000000
024,F1,0.000000,0.000000,0.000000
025,auc,0.500000,0.500000,0.500000
025,accuracy,0.501094,0.506128,0.510749
025,recall,0.000000,0.000000,0.000000
025,precision,0.000000,0.000000,0.000000
025,F1,0.000000,0.000000,0.000000
026,auc,0.500000,0.500000,0.500000
026,accuracy,0.501094,0.506128,0.510749
026,recall,0.000000,0.000000,0.000000
026,precision,0.000000,0.000000,0.000000
026,F1,0.000000,0.000000,0.000000
